makes me feel like,gibt mir das Gefühl
furnish fit occasion,eine Steilvorlage liefern
gather one's wits together,seine fünf Sinne zusammennehmen
get dressing-down,eine Abreibung kriegen
get move on,einen Zahn zulegen
get down it,zupacken
get into fix,in die Bredouille geraten
get into fix,in die Bredouille kommen
get into rut,in einen Trott geraten
get into hot water,in Schwierigkeiten geraten
get into one's stride,seinen Rhythmus finden
get one's act together,sich zusammenreißen
get one's breath back,wieder zu Atem kommen
get one's rocks off,seinen Spaß haben
get out of line,aus der Reihe tanzen
get up and running,zum Laufen bringen
get the brass ring,den Hauptpreis gewinnen
get the wind up,Schiss kriegen
get grips with,mit klarkommen
get under skin,aufbringen
get value for money,etwas für sein Geld bekommen
give (it) one's all,sein Letztes geben
give one's blessing,absegnen
give good hiding,die Hosen strammziehen
give food for thought,zu denken geben
give quite turn,ganz schön erschrecken
go completely froot loops,vollkommen den Verstand verlieren
go down the swanny,den Bach runtergehen
go down the toilet,den Bach runtergehen
go for burton,flöten gehen
go on the lash,einen draufmachen
go through the motions,mechanisch tun
go great lengths,sich beeifern
go the bad,auf die schiefe Bahn geraten
go the bad,auf die schiefe Bahn kommen
go the wall,Bankrott gehen
go the wall,bankrott gehen
go up the creek,den Bach runtergehen
go with one's gut,auf sein Bauchgefühl hören
go with one's gut,auf seinen Bauch hören
grasp at an opportunity,eine Gelegenheit beim Schopfe packen
grin and bear it,in den sauren Apfel beißen
handle with kid gloves,mit Samthandschuhen anfassen
have bellyful of,satthaben
have bellyful of,satt haben
have big influence,zu Buche schlagen
have clean slate,nichts auf dem Kerbholz haben
have close shave,noch einmal glimpflich davonkommen
have green thumb,einen grünen Daumen haben
have hand in,an beteiligt sein
have look around,um sich schauen
have screw loose,ein Rad abhaben
have screw loose,einen Dachschaden haben
have screw loose,einen Klaps haben
have screw loose,einen Sockenschuss haben
have thing for,mögen
have lost one's mind,des Teufels sein
have lost one's senses,des Teufels sein
have money burn,Geld wie Heu haben
have one's hackles up,in Harnisch sein
have in headlock,im Schwitzkasten haben
have on the hook,zappeln lassen
have shot one's bolt,sein Pulver verschossen haben
have the edge over,überlegen sein
have the hots for,attraktiv finden
have tons of money,in Geld schwimmen
hit in the wallet,ans Portemonnaie gehen
hold keep in check,unter Kontrolle halten
hold candle,mit gleichrangig sein
hold one's head high,den Kopf hoch tragen
jump at the chance,die Gelegenheit beim Schopf ergreifen
jump down throat,hart anlassen
jump on the bandwagon,auf den fahrenden Zug aufspringen
keep stony silence,stumm wie ein Fisch sein
keep one's chin up,den Kopf oben behalten
keep one's eyes open,die Augen offen halten
keep one's eyes peeled,die Augen offen halten
keep one's hand in,nicht aus der Übung kommen
keep one's own counsel,seine Meinung für sich behalten
keep one's shirt on,ruhig Blut bewahren
kick into high gear,in die Vollen gehen
kick over the traces,über die Stränge schlagen
kick up fuss,ein Theater inszenieren
know all the wrinkles,alle Kniffe kennen
leave in the lurch,hängen lassen
lend an ear,sein Ohr leihen
lie through one's teeth,lügen wie gedruckt
lift the lid on,enthüllen
live the high life,in Saus und Braus leben
look out for squalls,auf der Hut sein
make big killing,den großen Reibach machen
make hash of,vermasseln
make hash of,verpatzen
make hash of,verpfuschen
make it up with,sich mit aussöhnen
make mincemeat of arguments,Argumente zerpflücken
move up gear,einen Schritt zulegen
nip in the bud,im Keim ersticken
not have much say,nicht viel zu bestellen haben
not have much upstairs,nicht viel Grips haben
not sleep wink,kein Auge zumachen
open one's heart,sich eröffnen
paint the town (red),(ordentlich) einen draufmachen
pay little heed,gering schätzen
pay no heed,nicht beachten
pick up slack,für einspringen
pierce marrow and bone,durch Mark und Bein dringen
play for fool,zum Narren halten
play the first fiddle,die erste Geige spielen
provide law and order,für Recht und Ordnung sorgen
provide peace and order,für Ruhe und Ordnung sorgen
put in backwater,aufs Abstellgleis schieben
put in the picture,ins Bild setzen
put through the mill,schlauchen
put the lid on,endgültig erledigen
Unverified put up one's guard,das Visier herunterlassen
rain cats and dogs,wie aus Eimern schütten
Unverified rain cats and dogs,wie aus Kübeln gießen
rub the wrong way,bei anecken
screw up one's courage,all seinen Mut zusammennehmen
see the bigger picture,über den Tellerrand hinaus schauen
seem (quite) stretch,(ziemlich) weit hergeholt erscheinen scheinen
shed light on upon,über Aufschluss geben
sit on the fence,sich nicht einmischen
slog one's guts out,sich kaputtarbeiten
smear good name,guten Namen beschmutzen
smoke like chimney,rauchen wie ein Schlot
smooth the way for,den Weg ebnen
spill the beans (on,alles (über verraten
squeeze the orange dry,wie eine Zitrone ausquetschen
stay on one's toes,auf Zack bleiben
step into the breach,in die Bresche treten
step out of line,aus der Reihe tanzen
step out of line,ausscheren
stick one's guns,seiner Sache treu bleiben
stop on dime,in Sekundenschnelle zum Stehen kommen
strike false note,nicht den richtigen Ton treffen
swallow the bitter pill,in den sauren Apfel beißen
swear like trooper,schimpfen wie ein Rohrspatz
sweat like pig,schwitzen wie ein Schwein
take back seat,die zweite Geige spielen
take stand against,gegen widerständig werden
take stand for,sich für einsetzen
take it up with,es mit aufnehmen
take pains do,"bestrebt sein, zu tun"
take under one's wings,in Schutz nehmen
take stock of it,eine die Bilanz dessen ziehen
take the edge off,lindern
take the soft option,den Weg des geringsten Widerstands gehen
take one's heels,das Weite suchen
take one's heels,Fersengeld geben
take one's heels,die Flucht ergreifen
take the road,sich auf die Reise begeben
take umbrage (at about,(über verärgert sein
take up quarters (with,(bei Quartier beziehen
Unverified take up quarters (with,(bei Quartier nehmen
talk oneself into trouble,sich um Kopf und Kragen reden
talk out of school,aus der Schule plaudern
think outside the box,über den eigenen Kirchturm hinausblicken
think outside the box,über den eigenen Tellerrand hinausschauen
think outside the box,über den Tellerrand hinaussehen
throw in the sponge,die Flinte ins Korn werfen
throw in the towel,die Flinte ins Korn werfen
throw pearls before swine,Perlen vor die Säue werfen
touch the quick,ans Herz rühren
treat with kid gloves,mit Samthandschuhen anfassen
treat with kid gloves,mit Samthandschuhen behandeln
try some monkey business,krumme Sachen versuchen
turn on one's heel,auf der Hacke kehrtmachen
turn on the charm,auf charmant machen
turn on the charm,seinen (ganzen) Charme spielen lassen
turn one's hand,sich zuwenden
upset the apple cart,alles über den Haufen werfen
walk on thin ice,auf dünnem Eis wandeln
walk down the aisle,zum Traualtar führen
bastion of calm,ein Fels in der Brandung
race against time,ein Rennen gegen die Zeit
hard nut crack,Knacknuss
love at first sight,Liebe auf den ersten Blick
that kind of money,so viel Geld
that kind of money,soviel Geld
treading on thin ice,Ritt über den Bodensee
(as) mad as hatter,total verrückt
(as) naked as jaybird,splitterfasernackt
(as) nutty as fruitcake,total verrückt
(as) silent as the grave,stumm wie ein Fisch
(as) white as ghost,schreckensblass
(down) the last farthing,auf Heller und Pfennig
(just) be on the safe side,(nur) zur Sicherheit
as black as Newgate's knocker,pechschwarz
as cool as you please,in aller Seelenruhe
as daft as brush,dumm wie Bohnenstroh
as mad as wet hen,fuchsteufelswild
as proud as peacock,stolz wie ein Pfau
as right as rivet,in schönster Ordnung
as right as trivet,in schönster Ordnung
as stupid as they come,dumm wie Stroh
as swift as an arrow,schnell wie ein Pfeil
At last the penny dropped.,Endlich fiel der Groschen.
at the bottom of the hour,zur halben Stunde
back the salt mines,zurück in die Tretmühle
before you could turn round,ehe man sichs versieht
beyond shadow of doubt,ohne den geringsten Zweifel
by guess and by gosh,frei Schnauze
every once in while,von Zeit zu Zeit
Everything grinds halt.,Alle Räder stehen still.
for better or (for) worse,auf Gedeih und Verderb
for the love of Mike,um Himmels willen
Get grip on yourself!,Krieg dich wieder ein!
Have it your own way!,"Mach, was du willst!"
His life is at stake.,Es geht um sein Leben.
How was know?,Woher sollte ich das wissen?
could eat horse.,Ich könnte was verzwicken.
haven't got clue!,Keine Ahnung!
hear what you're saying.,Ich habe durchaus verstanden.
"I'm not taking the mickey, ...","Im Ernst, ..."
"If (my) memory serves me right, ...","Soviel mir erinnerlich ist, ..."
"If (my) memory serves me right, ...","Soweit mir erinnerlich ist, ..."
in manner of speaking,im Grunde (genommen)
in all my born days,mein Lebtag lang
in my heart of hearts,im Grunde meines Herzens
in next no time,im Nu
in the back of beyond,im hinterletzten Winkel
in the heat of the moment,im Überschwang des Augenblicks
in the twinkling of an eye,im Nu
in the wink of an eye,im Nu
It comes with the territory.,Das gehört einfach dazu.
It fits like glove.,Das sitzt wie angegossen.
It has come that!,Weit ist es gekommen!
It is what it is.,Es ist wie es ist.
Keep up the good work!,Bleib auf dem Weg!
Let's call it day.,Machen wir Feierabend.
Let's call it day.,Schluss für heute.
like duck takes water,mit der größten Selbstverständlichkeit
low on the totem pole,unwichtig
May take the liberty of ...,Darf ich mir erlauben ...
Money doesn't grow on trees.,Ich habe keine Gelddruckmaschine.
Never in million years!,Nie im Leben!
not by long chalk,bei weitem nicht
not by long chalk,noch lange nicht
not by long shot,noch lange nicht
not by long shot,beileibe nicht
not enough room swing cat,in beengten Platzverhältnissen
not everyone's cup of tea,nicht jedermanns Sache
not worth (brass) farthing,keinen Pfennig wert
Nothing will come of nothing.,Von nichts kommt nichts.
on the right tack track,auf dem richtigen Weg
once in blue moon,alle Jubeljahre
once in blue moon,alle Jubeljahre einmal
poor as church mouse,arm wie eine Kirchenmaus
Put your backs into it!,Legt euch ins Zeug!
red in tooth and claw,mit Zähnen und Klauen
Shit or get off the pot!,Entscheide dich endlich!
"Shoot first, ask questions later.","Erst schießen, dann fragen."
straight from the horse's mouth,direkt aus der Quelle
straight from the horse's mouth,direkt von der Quelle
taken with pinch of salt,cum grano salis
That was close shave.,Das ging glimpflich aus.
The ball's in your court.,Jetzt sind Sie dran.
The sands are running out.,Die Zeit läuft ab.
The wheel turns full circle.,Der Kreis schließt sich.
"Unverified To give his her due, ...","Man muss fairerweise zugeben, ..."
till until the end of time,bis in alle Ewigkeit
make long story short,langer Rede kurzer Sinn
the top of one's bent,bis zum Äußersten
under the cloud of night,im Schutz der Nacht
under the curtain of night,im Schutz der Dunkelheit
under the screen of night,im Schutz der Dunkelheit
under the screen of night,im Schutz der Nacht
under the veil of darkness,unter dem Schutz der Dunkelheit
when the rubber hits the road,wenn es drauf ankommt
where space is at premium,bei stark begrenzten Platzverhältnissen
with grain of salt,mit einer Prise Salz
"with much blood, sweat and tears",mit viel Herzblut
with this end in view,mit diesem Ziel vor Augen
without shadow of doubt,ohne den geringsten Zweifel
without the bat of an eyelid,ohne ein Wimpernzucken
add fuel the fire,Öl ins Feuer schütten
aim at for the stars,nach den Sternen langen
bark up the wrong tree,auf dem Holzweg sein
be (as) right as rain,sich pudelwohl fühlen
be (strictly) for the birds,für (gar) nichts taugen
be get caught red-handed,eiskalt erwischt werden
be fly in the ointment,das Bild trüben
be tough act follow,große Fußstapfen hinterlassen
be all of dither,am Rotieren sein
be as American as apple pie,typisch amerikanisch sein
be as common as muck,schrecklich gewöhnlich sein
be as common as muck,schrecklich ordinär sein
Unverified be asking for it trouble,es nicht anders wollen
be at loss for words,um Worte verlegen sein
be at odds with the truth,nicht der Wahrheit entsprechen
be bulging bursting at the seams,proppenvoll sein
be bulging bursting at the seams,zum Platzen voll sein
be dull as ditchwater dishwater,total öde sein
be eaten up with envy,von Neid zerfressen sein
be fighting losing battle,auf verlorenem Posten stehen
be fit be tied,(vor Wut) kochen
be full of hot air,ein Dummschwätzer sein
